City,pi_h,mu_h,sigma_h,gamma_h,delta_h,K_v,eta_s,beta_h,beta_v,theta_v,Eh0,Ih0,Rh0,Iv0,Nh0,Nv0,mu_l,mu_v,b_v
NGA,400,0.00004,0.099945205,0.0023,0.0003454,2000,1,0.24,0.5,0.13,0,5000,0,20,10000,2000,0.104190132,0.05,1
CMR,650,0.000036,0.05,0.0023,0.0000005,2584,0.9,0.55,0.6,0.13,0,15000,10,50,50000,7500,0.104190132,0.05,5
